"","viento","direccion","temperatura","humedad"
"68",5.3,225,20.85,14
"69",1.5,222,18.35,14
"70",4.3,10,17.85,16
"71",13.4,24,17.15,15
"72",14.3,24,16.75,14
"73",13.2,25,16.95,12
"74",11.4,6,15.25,13
"75",12.5,9,14.35,13
"76",13,14,14.55,16
"77",12.1,14,14.35,17
"78",12.6,12,13.55,18
"79",11.8,15,14.15,15
"80",12.4,8,15.65,14
"81",13,10,18.65,14
"82",11.7,10,20.85,15
"83",9,1,23.45,15
"84",4.9,359,25.35,13
"85",3.7,288,27.65,11
"86",7.8,217,25.35,14
"87",8.6,214,25.35,15
"88",8.2,202,24.35,16
"89",6.8,206,24.15,17
"90",5.7,211,23.65,17
"91",7.9,214,22.85,17
"92",5.9,214,20.75,26
"93",1.5,195,18.85,33
"94",1.3,88,18.25,35
"95",7,7,17.85,29
"96",11.6,13,15.25,23
"97",11.1,13,15.05,23
"98",12.4,11,14.55,24
"99",11.2,23,15.35,22
"100",8.5,39,16.15,18
"101",4.3,60,15.95,24
"102",5.6,10,14.65,19
"103",10.1,10,11.15,25
"104",10.1,14,14.45,20
"105",11.6,14,18.65,19
"106",10.6,17,19.55,23
"107",10.3,3,20.45,24
"108",8.1,358,22.05,24
"109",4.8,13,23.55,20
"110",4,344,25.15,18
"111",10.5,213,24.95,23
"112",9.9,230,23.35,30
"113",8.2,227,22.55,29
"114",7.6,226,22.05,33
"115",6.7,228,20.85,34
"116",4,229,19.55,38
"117",2.1,189,17.95,44
"118",3.4,15,16.75,50
"119",8.9,24,17.55,31
"120",11.2,27,16.15,29
"121",11.6,16,16.05,24
"122",9.6,31,16.15,27
"123",9.5,6,14.85,27
"124",10.8,9,12.45,35
"125",10.3,20,15.25,19
"126",10.1,16,14.35,16
"127",11,16,14.25,13
"128",10.9,24,16.55,11
"129",9.5,5,18.85,12
"130",9.5,7,21.25,21
"131",8.3,360,22.95,22
"132",6.7,2,24.55,17
"133",3.9,342,26.55,16
"134",9,222,24.75,19
"135",9,218,24.55,20
"136",8.4,217,23.85,20
"137",8.4,218,23.25,21
"138",7.4,220,22.45,22
"139",7.2,220,21.35,22
"140",5.5,226,19.95,22
"141",2.3,242,18.25,24
"142",1.5,94,17.45,26
"143",7.9,10,16.85,15
"144",8.8,23,15.75,18
"145",10.7,13,13.75,21
"146",10.5,17,15.25,15
"147",10.3,18,15.75,12
"148",11.3,11,14.05,14
"149",11.4,10,12.85,19
"150",11.2,13,13.15,19
"151",8.9,15,13.55,18
"152",8.5,15,15.45,18
"153",8.7,4,19.75,15
"154",7.7,8,22.25,15
"155",5.1,337,24.45,18
"156",7.5,223,24.95,15
"157",9.5,221,23.95,17
"158",9.1,219,23.95,16
"159",8,220,23.75,16
"160",7.4,207,23.35,18
"161",6.7,208,22.85,18
"162",6.5,214,22.15,19
"163",6.7,223,20.55,24
"164",4.6,228,18.95,26
"165",2.3,223,17.05,31
"166",7.5,34,16.85,26
"167",9.6,26,15.55,31
"168",11.2,17,14.95,36
"169",11.9,4,13.25,39
"170",12.9,4,13.35,27
"171",11.8,15,12.55,28
"172",11.4,18,12.35,33
"173",11.8,14,12.45,33
"174",11.2,9,13.35,30
"175",9.6,6,13.15,30
"176",10.1,12,13.65,30
"177",13.1,6,18.35,19
"178",14.1,9,20.35,25
"179",15.8,9,22.25,17
"180",13.8,6,23.85,13
"181",6.3,239,19.95,38
"182",8.4,222,19.45,37
"183",8.3,220,21.25,28
"184",8.2,198,21.55,28
"185",7.3,199,21.95,24
"186",5.4,213,22.15,21
"187",5.6,216,21.75,23
"188",6.5,226,19.65,31
"189",3.5,213,17.05,39
"190",1.5,62,15.75,43
"191",2,18,16.65,37
"192",3.9,14,15.25,32
"193",6.5,7,13.65,32
"194",7.7,23,16.25,24
"195",8.9,8,12.85,30
"196",8.6,353,11.35,33
"197",8.8,8,11.85,30
"198",8.7,15,12.45,29
"199",8.3,15,12.95,29
"200",6.9,12,14.75,27
"201",5,6,19.55,21
"202",2.6,187,21.75,18
"203",4.3,205,22.75,15
"204",5,224,23.85,13
"205",5.3,216,24.65,13
"206",7.3,220,24.15,14
"207",9.3,217,23.65,11
"208",9.6,206,23.25,11
"209",8.5,220,22.25,12
"210",6.6,210,21.35,15
"211",6.3,210,21.05,16
"212",4.9,217,20.15,18
"213",2.5,225,18.25,19
"214",0.9,274,16.75,22
"215",4.5,12,16.75,23
"216",9.4,8,13.35,35
"217",9.6,7,13.05,33
"218",10.1,10,12.85,31
"219",9,18,14.75,27
"220",10,14,13.55,26
"221",9.2,11,12.85,32
"222",8.4,12,13.05,30
"223",8.4,11,14.05,27
"224",6.6,14,15.35,26
"225",1.5,7,19.25,25
"226",2.4,188,21.05,24
"227",4.3,208,22.85,17
"228",5,199,24.35,13
"229",6.9,201,24.65,14
"230",7.7,215,24.35,15
"231",8.2,231,23.95,13
"232",8.2,229,23.45,12
"233",8.3,225,23.15,11
"234",7.6,222,22.05,12
"235",6.3,216,21.55,10
"236",5.2,223,20.65,10
"237",2.2,230,18.15,14
"238",0,319,16.45,16
"239",9.2,21,14.15,30
"240",7.6,9,14.65,33
"241",4.9,360,13.85,25
"242",5.7,346,12.45,27
"243",9.3,11,12.95,23
"244",11.6,18,13.55,23
"245",11.2,11,12.85,25
"246",8.6,11,12.65,24
"247",10.1,11,12.05,24
"248",9.5,11,14.15,20
"249",7.4,6,19.15,13
"250",7.2,360,22.15,9
"251",4,12,24.05,9
"252",3.2,353,25.45,8
"253",7.7,234,25.55,9
"254",10.5,220,23.75,9
"255",10.6,217,23.75,8
"256",8.6,214,22.65,8
"257",6.8,218,21.85,9
"258",6.4,215,21.45,8
"259",5.1,214,21.05,10
"260",4.6,217,19.95,11
"261",2,233,17.75,12
"262",1.1,327,17.25,13
"263",4.7,9,16.45,14
"264",9.1,16,14.75,16
"265",11.1,26,15.65,10
"266",11.5,17,14.95,11
"267",11.1,13,14.95,10
"268",11.6,15,13.55,12
"269",11.7,19,14.55,11
"270",11.5,9,12.95,12
"271",11.5,11,11.65,16
"272",9.9,18,14.95,19
"273",9.5,14,20.15,16
"274",8.3,360,21.95,15
"275",6.4,355,23.25,14
"276",4.5,7,25.25,11
"277",9,236,24.75,7
"278",10.1,211,23.95,9
"279",11,228,23.25,12
"280",8.7,229,23.45,11
"281",8.3,219,21.95,14
"282",7.9,201,20.85,11
"283",5.3,206,19.75,10
"284",5.1,223,19.15,11
"285",1.2,223,17.15,15
"286",2.5,53,17.15,13
"287",5.2,22,16.15,14
"288",7.5,33,15.15,20
"289",10,21,15.35,19
"290",11.4,20,15.45,18
"291",10.1,24,15.15,21
"292",10.2,23,13.35,24
"293",11,33,14.05,27
"294",12.7,32,13.95,25
"295",11.3,31,14.35,29
"296",10.9,28,16.45,27
"297",13.2,16,19.75,22
"298",12.2,9,21.95,20
"299",11.9,10,23.05,20
"300",10.6,12,24.25,15
"301",9.1,7,25.65,12
"302",4.9,359,26.35,9
"303",9.1,226,24.45,13
"304",8.6,221,23.55,16
"305",8.5,208,22.35,18
"306",6.8,214,21.75,17
"307",5.5,199,20.95,18
"308",4.8,221,19.85,18
"309",2.3,244,17.45,28
"310",1.4,19,17.45,23
"311",7.2,12,15.85,16
"312",9.8,13,15.25,18
"313",9,29,15.05,17
"314",9.7,19,15.35,17
"315",11,18,13.65,19
"316",10.9,15,13.05,22
"317",10.4,14,13.35,22
"318",10.7,13,12.65,24
"319",10.1,18,14.25,21
"320",8,27,16.85,17
"321",6.9,14,20.15,13
"322",7.3,8,22.05,13
"323",5.4,354,23.65,12
"324",7.8,344,24.75,15
"325",5.6,359,25.75,14
"326",4.1,327,26.35,13
"327",9.7,230,24.95,15
"328",10.6,213,23.95,16
"329",8.5,210,22.35,17
"330",7.7,215,21.65,16
"331",5.5,215,20.85,12
"332",4.2,221,20.15,11
"333",2.8,256,18.35,13
"334",0.5,54,17.25,14
"335",0,84,17.25,15
"336",2.2,18,16.95,23
"337",6.7,10,16.45,14
"338",8.9,8,12.85,23
"339",9.4,26,15.45,15
"340",9.8,22,15.75,15
"341",9.8,17,14.45,14
"342",9.9,23,14.35,14
"343",9.9,15,14.75,15
"344",8.6,11,15.35,15
"345",5.7,14,19.35,12
"346",3.1,190,21.85,15
"347",3.8,328,24.05,17
"348",6.8,341,24.85,14
"349",4.9,13,25.95,12
"350",7.9,220,24.55,14
"351",8.8,218,24.15,13
"352",7.4,219,23.75,12
"353",8.1,224,22.85,14
"354",7.5,225,22.35,16
"355",6,210,21.55,17
"356",5.6,223,20.45,17
"357",2.8,243,18.45,17
"358",0,192,17.15,17
"359",3.4,21,17.25,19
"360",8.6,29,16.15,23
"361",7.7,23,15.55,25
"362",10,24,15.85,27
"363",9.8,27,14.55,31
"364",10.3,19,14.15,35
"365",9.1,10,12.75,37
"366",9.5,27,12.95,39
"367",9.4,24,14.05,38
"368",8.6,27,16.45,31
"369",5.6,31,20.25,23
"370",5.4,357,22.85,20
"371",3.3,340,24.05,21
"372",4.4,336,25.75,18
"373",6.6,220,25.55,17
"374",9.5,221,24.25,19
"375",10.4,218,24.25,21
"376",11.2,221,23.25,23
"377",9.4,216,22.05,23
"378",6.6,213,21.15,23
"379",4.9,212,20.85,21
"380",3.8,218,20.65,19
"381",3.6,235,19.15,22
"382",0,167,17.75,26
"383",0.7,43,17.55,29
"384",6.1,10,17.05,25
"385",10,8,15.25,32
"386",9.5,18,15.15,30
"387",8.4,21,15.55,27
"388",10.4,18,15.05,27
"389",9.4,17,14.55,22
"390",8.4,17,12.15,27
"391",8.7,14,13.25,26
"392",9.5,9,14.15,26
"393",8.8,359,19.95,21
"394",9.5,360,22.05,22
"395",7.5,6,23.75,16
"396",4.9,316,25.35,11
"397",10,208,23.55,17
"398",9.8,222,23.55,16
"399",9.2,215,23.15,18
"400",8.4,209,22.95,17
"401",8.9,217,23.05,14
"402",7.9,226,21.35,15
"403",6.2,227,20.05,16
"404",5.1,209,18.95,16
"405",2,236,17.35,17
"406",0.9,84,16.85,15
"407",4,14,16.45,16
"408",6.4,2,15.65,16
"409",10.4,28,15.25,27
"410",10.2,28,14.85,28
"411",11.9,15,13.25,32
"412",12.2,13,12.05,37
"413",12.3,18,12.75,34
"414",11.1,18,12.25,35
"415",10.4,27,12.05,35
"416",8.6,6,15.35,29
"417",9.3,360,20.05,18
"418",9.1,8,22.65,16
"419",7.1,6,24.25,13
"420",6.2,334,25.95,11
"421",10,224,24.95,15
"422",10.2,217,23.25,17
"423",8.4,205,23.25,16
"424",8.3,216,22.35,16
"425",7.8,218,21.85,15
"426",6,209,21.25,13
"427",5.5,214,20.95,13
"428",5,221,19.65,18
"429",2.7,240,17.75,22
"430",1,5,17.05,23
"431",2.8,25,17.05,25
"432",7.4,13,15.55,23
"433",9.7,10,14.45,26
"434",9,360,13.25,26
"435",9.5,4,13.65,26
"436",10,9,12.35,20
"437",11.7,10,12.85,25
"438",11.9,10,11.75,22
"439",10.8,13,11.15,19
"440",10.1,14,13.25,17
"441",4.5,3,19.55,11
"442",5.1,7,22.85,7
"443",2.6,344,24.15,7
"444",2.4,258,25.95,6
"445",7.2,221,26.05,7
"446",7.6,225,25.45,9
"447",8.4,220,24.45,10
"448",7.6,214,23.75,9
"449",7.9,220,22.85,9
"450",7.4,218,21.85,7
"451",6.2,222,20.85,12
"452",4.2,228,19.65,17
"453",2.2,238,17.85,19
"454",1.3,335,16.45,23
"455",3.1,18,16.55,22
"456",6.7,6,13.85,31
"457",8.5,13,13.95,19
"458",10.3,8,12.25,14
"459",11,11,12.15,14
"460",11.3,12,12.65,14
"461",9.9,17,13.95,13
"462",11.5,11,11.85,14
"463",10.9,12,12.05,14
"464",7.5,19,14.45,13
"465",6.6,14,18.25,12
"466",3.8,6,21.65,7
"467",2.2,357,23.45,6
"468",2.6,225,25.25,5
"469",8.5,229,23.85,13
"470",7.9,221,23.25,10
"471",7.8,226,23.15,8
"472",8.1,231,22.45,12
"473",8.2,216,22.25,13
"474",7.1,214,21.15,16
"475",6.6,213,20.25,16
"476",5.7,205,19.15,17
"477",2.7,226,17.25,17
"478",1.2,314,15.95,20
"479",1.9,6,16.75,20
"480",8.1,11,14.15,27
"481",8.6,13,14.75,22
"482",8.8,14,13.85,18
"483",10.1,9,11.75,14
"484",8.8,16,13.85,10
"485",10.9,13,11.15,11
"486",9.8,14,11.65,14
"487",11.1,12,10.65,16
"488",10,12,12.45,18
"489",7.4,10,17.75,14
"490",5.7,357,21.15,10
"491",3.3,343,23.05,10
"492",4.1,347,25.15,8
"493",7,235,24.05,12
"494",9.3,216,23.35,12
"495",7.6,228,22.45,11
"496",7,228,22.45,12
"497",7.4,229,21.85,14
"498",7.9,225,20.85,16
"499",6.6,223,19.65,19
"500",5.3,227,18.45,21
"501",3.2,227,16.65,22
"502",1,233,15.35,26
"503",3.9,13,15.05,25
"504",8.7,16,12.75,33
"505",8.7,7,12.45,37
"506",10.8,13,11.65,36
"507",10.1,11,11.55,32
"508",10.6,7,11.25,29
"509",13,12,11.05,32
"510",12.2,9,11.05,28
"511",12.6,13,11.45,27
"512",9.7,13,12.35,25
"513",9.9,9,18.85,8
"514",8.4,2,21.45,5
"515",4.4,339,23.05,6
"516",6.1,226,24.45,9
"517",8.2,222,23.55,13
"518",8.3,213,23.25,11
"519",9.2,204,22.95,8
"520",7.2,216,22.65,7
"521",6.8,218,22.25,7
"522",6.7,217,21.75,9
"523",6.2,225,21.05,8
"524",4.8,216,20.25,10
"525",2.1,255,18.15,17
"526",0.5,169,16.65,21
"527",4.1,29,16.65,18
"528",9.4,18,15.25,22
"529",9.4,17,14.95,16
"530",10.9,22,15.55,13
"531",10.6,14,14.35,12
"532",11.8,13,13.85,14
"533",12.1,10,13.75,13
"534",11.7,14,14.35,8
"535",10.9,11,14.45,9
"536",8.9,16,15.55,9
"537",6.9,3,19.85,9
"538",6.2,359,23.15,8
"539",3,288,24.35,7
"540",6.1,223,24.45,7
"541",9.4,226,24.65,8
"542",10,223,24.35,6
"543",9.6,217,23.95,6
"544",8.5,212,23.35,6
"545",5.7,216,22.95,4
"546",6.3,224,23.15,6
"547",6.7,218,22.05,10
"548",5.4,227,20.85,11
"549",2.9,232,18.45,19
"550",0.6,242,16.95,21
"551",5.3,10,17.35,17
"552",7,23,15.35,19
"553",7.6,10,14.95,23
"554",8.5,7,13.85,21
"555",8.3,7,15.55,14
"556",9.4,9,13.95,16
"557",10.1,12,15.95,9
"558",11.1,11,13.75,13
"559",11.3,13,14.75,10
"560",10.2,13,14.55,11
"561",8.5,6,18.85,9
"562",7.2,3,21.85,5
"563",3.7,344,24.05,3
"564",5.3,228,24.05,6
"565",8,216,24.15,10
"566",8.3,226,23.95,8
"567",8.9,219,23.45,9
"568",10,204,22.85,7
"569",7,222,21.85,9
"570",7.3,211,21.25,9
"571",4.7,209,20.75,7
"572",3.8,220,20.25,8
"573",2.7,229,18.85,11
"574",1.2,18,17.75,12
"575",6.9,31,16.75,19
"576",8.9,14,15.25,21
"577",9.7,12,14.25,26
"578",9.3,9,14.15,23
"579",10,8,13.55,21
"580",11.1,13,13.75,21
"581",11.3,13,13.15,20
"582",12.1,15,11.95,21
"583",10.6,20,14.45,11
"584",8.5,12,14.25,9
"585",5.9,7,18.15,7
"586",2.5,13,20.65,5
"587",3.4,205,21.75,8
"588",6.6,227,21.55,14
"589",8.1,229,20.65,24
"590",8.3,225,19.65,31
"591",7.9,216,20.25,25
"592",7.2,219,20.75,21
"593",6.5,202,20.75,22
"594",7.5,204,20.25,21
"595",6.8,207,19.75,24
"596",6.8,209,18.45,33
"597",5.1,233,16.85,44
"598",0,284,16.25,44
"599",7.8,30,16.35,28
"600",7.5,33,15.35,28
"601",7.3,349,15.05,26
"602",10.6,9,13.65,22
"603",10.5,12,13.25,20
"604",10.2,9,13.15,21
"605",9.8,10,13.95,20
"606",8.2,11,12.85,23
"607",3.8,39,11.95,23
"608",3.6,358,13.65,24
"609",2.7,117,17.25,21
"610",2,168,16.35,32
"611",3.9,192,18.45,29
"612",5.4,206,21.15,26
"613",7.1,224,21.85,23
"614",7.8,221,21.45,25
"615",8.6,226,21.45,23
"616",8.3,223,21.45,25
"617",7.2,218,21.25,24
"618",6.7,212,21.25,21
"619",6.2,201,20.45,26
"620",5.8,218,19.25,33
"621",3.9,221,17.55,38
"622",0.8,332,16.55,42
"623",3.6,10,17.25,42
"624",9,21,16.05,20
"625",9.1,8,14.25,19
"626",9.9,8,13.95,14
"627",10.8,14,13.85,13
"628",9.8,9,14.25,14
"629",7.8,358,14.25,16
"630",9,11,15.55,15
"631",8.3,8,14.85,16
"632",8.3,9,16.55,15
"633",2.5,283,19.65,12
"634",4.8,205,19.25,13
"635",4,229,21.15,12
"636",5,225,22.55,10
"637",6.8,217,23.55,10
"638",8,228,23.75,12
"639",7.5,223,24.05,13
"640",8.3,228,24.05,13
"641",7.9,224,23.65,14
"642",7.7,229,23.25,13
"643",7,224,22.75,19
"644",6.6,220,21.15,28
"645",4.7,205,18.05,41
"646",0.7,316,16.85,38
"647",3.3,11,17.45,41
"648",9.1,1,15.15,28
"649",10.9,5,14.95,20
"650",11.4,11,14.15,15
"651",11.5,14,13.35,9
"652",10.7,24,15.75,9
"653",10.4,18,15.75,13
"654",10.8,16,13.75,16
"655",10.3,12,13.35,18
"656",9.9,11,15.25,18
"657",9.3,8,20.15,13
"658",5.6,353,22.85,8
"659",2.1,2,24.85,7
"660",3.9,193,25.45,12
"661",5.1,213,25.75,13
"662",7.6,207,26.25,13
"663",7.4,207,26.05,13
"664",7,213,25.45,12
"665",8.2,214,24.65,13
"666",7.9,213,24.05,12
"667",6.6,218,23.25,12
"668",5.8,228,22.15,16
"669",2.8,234,20.35,18
"670",0.9,210,19.05,19
"671",1.8,5,18.65,20
"672",8.3,9,17.15,26
"673",9.1,10,15.35,29
"674",9.7,10,15.25,28
"675",9.5,17,15.95,22
"676",9.8,12,16.45,20
"677",9.2,7,15.35,20
"678",10.3,12,16.05,20
"679",9.7,15,17.15,18
"680",8,17,17.85,19
"681",6.5,5,20.95,16
"682",2.7,4,24.45,14
"683",2.9,190,26.25,14
"684",4.9,229,26.55,14
"685",6.8,208,27.15,12
"686",7.1,205,27.35,12
"687",8.7,223,26.85,13
"688",8.9,206,26.15,12
"689",9.4,231,25.15,13
"690",8.1,226,23.65,17
"691",6.6,213,22.95,16
"692",5.2,223,21.75,22
"693",3.2,233,19.75,25
"694",0.3,343,17.55,31
"695",4.1,342,18.85,23
"696",9.5,7,15.25,27
"697",9.8,9,13.35,39
"698",11.3,13,13.55,38
"699",10.7,18,14.95,31
"700",11.1,21,15.25,27
"701",10.1,15,15.15,27
"702",11.2,14,15.45,26
"703",12.6,16,13.55,30
"704",12.5,13,14.35,29
"705",10.6,5,18.35,22
"706",11.6,8,22.65,12
"707",9.3,2,24.35,10
"708",6.8,3,26.25,9
"709",7.7,227,25.55,15
"710",10.2,220,24.75,16
"711",10.1,215,24.95,16
"712",9.3,212,24.25,17
"713",7.7,213,23.45,13
"714",5.8,221,22.75,13
"715",4.5,217,22.55,10
"716",3.8,213,21.65,17
"717",2.9,227,19.65,20
"718",2.2,60,19.35,21
"719",8.9,14,16.95,20
"720",10.9,14,15.95,24
"721",12,29,16.55,23
"722",11.4,20,16.85,16
"723",11.2,12,14.65,22
"724",12.3,15,15.55,19
"725",9.8,15,14.25,22
"726",8.7,22,14.75,23
"727",11.1,14,15.55,21
"728",10.5,15,14.95,21
"729",8.4,10,20.65,17
"730",5.8,350,23.05,16
"731",5.1,262,24.65,14
"732",6.7,228,23.95,16
"733",8,221,24.35,17
"734",8.2,214,24.55,15
"735",9.3,225,23.65,16
"736",8.2,210,23.05,18
"737",7.8,217,21.95,17
"738",6.6,217,21.15,21
"739",5.2,197,21.05,18
"740",5,226,19.85,23
"741",2.1,233,17.55,28
"742",5.8,5,16.75,29
"743",11.6,13,14.25,44
"744",11.7,24,13.85,49
"745",12.6,12,12.15,54
"746",12.6,14,12.45,43
"747",10.6,12,12.55,40
"748",7.2,6,11.55,48
"749",11.1,12,12.35,46
"750",10.7,17,11.95,44
"751",10.2,14,14.05,37
"752",9.3,11,13.45,37
"753",8,6,17.85,27
"754",4.2,348,20.45,25
"755",2.5,249,22.45,19
"756",5.5,241,23.35,17
"757",7.5,220,23.15,20
"758",6.4,223,22.95,21
"759",6.6,233,22.95,23
"760",8.3,228,22.75,21
"761",7.8,225,22.15,23
"762",7.5,202,20.85,32
"763",6,227,20.15,34
"764",6.1,228,18.45,42
"765",4.3,222,16.55,49
"766",1.3,197,15.35,56
"767",6.9,32,14.75,44
"768",9,16,13.95,45
"769",7.4,340,12.55,51
"770",8.6,2,12.45,47
"771",10.8,11,13.55,44
"772",11.6,11,13.25,46
"773",9.9,30,13.95,46
"774",8.3,8,12.35,49
"775",10.9,13,11.75,52
"776",9.4,16,13.55,45
"777",7.3,11,17.65,33
"778",4.3,351,20.55,27
"779",2.9,277,22.25,23
"780",3.4,298,23.65,21
"781",7.3,201,24.35,20
"782",8.4,210,23.55,22
"783",8.1,220,23.05,22
"784",8.7,222,22.15,22
"785",8.2,229,21.55,22
"786",7.5,228,20.75,26
"787",5.6,217,19.85,26
"788",4.8,202,19.25,26
"789",2.2,211,18.05,28
"790",0,332,16.45,27
"791",3.7,52,17.15,30
"792",8.8,18,15.15,30
"793",9.5,17,14.65,29
"794",10.1,8,13.25,29
"795",9.5,14,13.05,33
"796",10,11,12.15,35
"797",10.4,12,11.95,36
"798",10.9,10,12.15,37
"799",11,11,12.05,37
"800",8.6,9,13.75,32
"801",6.2,8,17.45,28
"802",1.3,347,21.15,24
"803",3.7,218,22.35,21
"804",6.2,198,23.15,20
"805",7.1,226,23.15,17
"806",8.3,219,23.35,18
"807",7.1,207,23.65,16
"808",7.5,221,23.35,17
"809",7.9,206,23.25,18
"810",6.8,212,22.35,20
"811",6.2,217,21.15,21
"812",6.8,213,20.15,24
"813",4.5,225,17.65,30
"814",1.7,275,16.05,31
"815",1.2,52,16.85,31
"816",7.6,7,14.75,31
"817",8.4,356,13.55,45
"818",9.2,12,13.15,47
"819",9.1,5,13.25,42
"820",9.3,6,13.25,39
"821",10,12,13.55,40
"822",9.9,14,14.55,37
"823",8.6,11,14.15,36
"824",6.3,334,14.15,35
"825",6.9,14,18.95,28
"826",4.1,16,21.65,24
"827",3.7,201,23.85,20
"828",4.7,209,24.25,19
"829",7.2,222,24.65,19
"830",7,229,24.75,19
"831",8,220,24.35,21
"832",8.2,218,23.95,24
"833",8.2,224,22.95,27
"834",7.5,220,21.85,28
"835",6.1,221,21.05,32
"836",5.2,224,19.85,36
"837",3.8,229,18.45,39
"838",0.8,197,17.65,40
"839",7.2,21,17.05,43
"840",8.7,23,16.35,42
"841",10.5,18,16.25,38
"842",12.4,13,15.65,40
"843",12.6,11,13.85,50
"844",11.8,9,13.55,50
"845",10.8,9,13.75,45
"846",11.4,10,13.15,48
"847",11.5,16,13.75,48
"848",9.8,14,14.95,45
"849",9.3,9,18.75,37
"850",7.8,355,21.75,28
"851",4.4,324,24.15,17
"852",3.7,216,25.65,17
"853",3.7,228,26.25,17
"854",5.4,233,26.05,16
"855",7.4,241,25.65,13
"856",7.7,225,25.45,13
"857",8.6,225,24.45,15
"858",7.6,213,23.55,16
"859",6.9,212,22.55,19
"860",6.3,221,21.45,21
"861",4.3,229,19.65,26
"862",0.8,263,18.15,29
"863",3.8,16,18.45,29
"864",9.7,10,15.85,29
"865",11.3,21,17.35,29
"866",10.8,16,16.95,30
"867",10.4,21,16.05,32
"868",9.8,24,17.25,30
"869",7.3,6,15.35,33
"870",5.3,348,13.85,37
"871",7.1,17,14.25,37
"872",4.2,17,16.45,33
"873",2.6,28,19.35,29
"874",2.2,149,22.85,23
"875",2.8,174,24.25,19
"876",3.8,237,25.35,18
"877",6.3,241,26.45,17
"878",7.4,232,25.85,18
"879",8.9,219,25.05,19
"880",9,217,24.25,18
"881",8.5,215,23.75,17
"882",8.2,222,23.15,18
"883",7.3,218,21.75,20
"884",5.6,220,20.65,23
"885",4.2,224,18.75,29
"886",0.8,285,17.35,30
"887",4.1,7,17.55,31
"888",7,8,15.35,34
"889",8.9,14,15.85,28
"890",10.1,17,16.35,22
"891",9.4,17,15.95,18
"892",9.6,11,14.45,21
"893",10.1,10,14.15,23
"894",9.4,9,14.35,27
"895",9.7,10,14.35,30
"896",9.5,11,15.15,31
"897",7.6,12,19.25,27
"898",5,2,22.75,24
"899",3.6,325,24.65,20
"900",6.3,226,24.65,20
"901",7.2,231,24.25,23
"902",8.7,225,23.85,23
"903",8.7,230,23.45,25
"904",7.9,220,23.15,25
"905",8,219,22.35,28
"906",7.6,219,22.15,29
"907",6.6,221,21.25,29
"908",6.5,226,19.65,38
"909",3.6,228,17.35,47
"910",0.9,305,16.25,50
"911",7.5,3,15.55,47
"912",9.8,27,14.75,48
"913",10.8,24,14.95,36
"914",10.4,15,14.55,31
"915",10.5,9,13.05,35
"916",11.7,17,13.85,34
"917",12.5,13,12.85,37
"918",10.7,24,13.35,35
"919",10.2,26,15.05,32
"920",8.8,7,13.85,34
"921",8.8,9,17.85,23
"922",8.3,4,20.05,18
"923",5.3,360,22.25,15
"924",6,210,22.25,25
"925",6.8,219,22.15,30
"926",8.4,221,21.25,34
"927",7.8,222,21.55,32
"928",7.4,221,21.45,32
"929",6.9,211,21.35,34
"930",7.1,200,20.85,37
"931",7.4,218,19.95,36
"932",4.8,229,18.05,46
"933",2.2,212,16.85,47
"934",9.4,20,16.35,33
"935",10.5,16,14.75,46
"936",13,24,14.55,53
"937",11.9,31,15.85,47
"938",11.1,11,14.75,39
"939",11.3,9,12.85,46
"940",11,17,15.55,37
"941",10.1,14,14.15,38
"942",9.5,11,12.85,35
