"","viento","direccion","temperatura","humedad"
"164",9.1,285,20.05,28
"165",5.7,255,18.25,25
"166",4.2,239,16.75,25
"167",3.1,227,15.15,28
"168",1.9,198,14.25,35
"169",2,157,14.65,41
"170",2.6,94,13.35,36
"171",5.7,88,13.35,39
"172",5.1,101,12.85,41
"173",4.7,93,13.05,40
"174",4.4,87,11.85,41
"175",6.9,74,11.55,40
"176",6.3,63,13.15,37
"177",6.3,57,17.05,30
"178",3.4,301,19.85,27
"179",5.5,285,20.35,26
"180",5.4,283,21.45,25
"181",7.5,283,21.75,27
"182",7.5,286,22.35,27
"183",7.9,272,23.55,25
"184",9.1,284,24.65,22
"185",7.6,280,24.95,22
"186",8.5,265,24.95,21
"187",10,232,22.25,29
"188",7.4,236,20.15,34
"189",4,230,18.85,36
"190",2.7,294,18.15,37
"191",1.8,269,16.95,36
"192",1.7,164,15.45,38
"193",3.2,130,16.15,37
"194",5.1,90,13.55,42
"195",6.8,83,14.05,43
"196",2.6,44,14.05,44
"197",2.7,74,12.85,46
"198",2.8,124,10.55,48
"199",5.3,102,11.25,50
"200",5.5,79,13.25,45
"201",1.3,117,16.65,38
"202",2.3,321,19.55,30
"203",4.5,263,20.75,29
"204",6.7,288,21.25,27
"205",7.5,287,22.35,25
"206",7.3,282,23.55,24
"207",7.9,264,24.15,22
"208",7.8,290,25.25,21
"209",9.6,260,25.65,21
"210",9.5,237,24.45,24
"211",10.4,247,23.05,26
"212",7.8,256,20.85,29
"213",5.6,257,18.85,31
"214",3.3,280,16.75,37
"215",0.6,23,15.65,38
"216",0.3,58,14.95,40
"217",2.6,99,14.75,40
"218",6.5,91,12.75,43
"219",9,85,13.05,40
"220",5.9,88,13.65,42
"221",6.9,77,13.55,41
"222",7.5,81,13.25,42
"223",8.2,81,11.75,45
"224",7.3,79,14.95,38
"225",7.5,68,18.05,32
"226",3.4,59,20.45,27
"227",6,288,20.35,27
"228",6.5,288,21.05,26
"229",6.1,292,22.05,23
"230",8.3,285,23.75,20
"231",7.6,282,24.45,17
"232",7.9,281,25.85,12
"233",10.3,268,25.25,16
"234",8.2,278,24.35,18
"235",11,279,23.55,19
"236",6.1,263,21.05,25
"237",5.8,244,19.05,25
"238",4.8,240,17.55,31
"239",1.8,188,15.85,34
"240",2.9,194,15.15,40
"241",3.1,156,15.55,42
"242",5.2,93,13.55,41
"243",6.1,106,13.65,38
"244",5.2,98,13.95,33
"245",5.1,77,11.65,35
"246",6.5,80,11.55,39
"247",6.8,78,10.95,39
"248",7.3,94,13.05,33
"249",5.8,70,17.25,28
"250",4.8,52,19.75,28
"251",5.8,288,20.15,29
"252",6.8,287,20.35,31
"253",6.7,292,21.75,29
"254",7.7,284,22.65,26
"255",5.9,287,23.75,24
"256",6.8,280,24.55,21
"257",7.7,290,25.25,19
"258",7.6,283,25.15,18
"259",9.1,253,24.85,16
"260",8.9,257,22.25,21
"261",6,269,19.55,25
"262",2,258,17.35,29
"263",2.3,124,15.55,30
"264",2.6,94,13.65,29
"265",3.4,99,13.65,28
"266",5.7,91,12.55,33
"267",6.5,99,13.45,31
"268",5.4,89,12.25,32
"269",7.4,81,10.65,35
"270",8.4,85,9.95,37
"271",8.1,84,10.15,37
"272",6.5,72,12.55,33
"273",9.7,75,16.85,26
"274",5.5,70,20.45,22
"275",3.3,287,22.55,23
"276",4.9,267,23.15,22
"277",6.4,294,23.15,21
"278",7.2,288,23.85,22
"279",7.9,274,24.15,23
"280",8.5,285,24.75,22
"281",7.1,292,24.85,22
"282",7.2,292,24.35,22
"283",9.2,290,23.05,23
"284",8.1,281,20.85,27
"285",6.4,247,18.35,31
"286",3.4,227,17.05,35
"287",3,204,15.95,32
"288",3.1,189,14.95,42
"289",2.6,136,15.25,40
"290",6.2,93,13.55,40
"291",5.4,91,14.75,37
"292",5,89,14.55,38
"293",6.3,71,12.05,42
"294",5.5,69,12.45,40
"295",6.1,46,12.15,38
"296",7.1,59,14.55,35
"297",9.4,73,17.45,30
"298",4.7,75,20.85,27
"299",4.6,297,22.45,26
"300",6.2,284,22.25,28
"301",7.1,287,23.45,20
"302",7.2,292,24.05,13
"303",8.2,289,24.25,12
"304",8,285,24.75,12
"305",6.6,283,24.95,12
"306",7,301,24.85,13
"307",8,280,24.15,14
"308",7.4,278,22.45,16
"309",5.9,277,19.95,19
"310",6,236,17.65,22
"311",3.6,198,16.45,23
"312",3.5,200,15.45,25
"313",3.2,179,15.45,24
"314",4.5,95,13.55,27
"315",8.1,87,14.15,27
"316",8.2,89,13.85,26
"317",7,78,12.35,28
"318",1.6,97,12.15,28
"319",4.6,76,12.25,29
"320",9.1,70,13.35,28
"321",10,74,18.35,22
"322",4,51,21.65,20
"323",4.8,290,22.25,19
"324",6.5,285,22.65,18
"325",6.4,284,23.25,15
"326",6.6,273,23.45,17
"327",7.2,278,24.65,18
"328",7,282,25.05,17
"329",6.9,276,25.75,16
"330",6.7,306,25.55,15
"331",10.7,242,24.45,13
"332",7,263,21.85,16
"333",5.7,264,19.65,20
"334",3.8,247,17.55,23
"335",3.8,238,16.15,25
"336",2.6,165,14.35,26
"337",3.9,152,14.95,24
"338",5.9,103,12.75,27
"339",8.8,86,12.45,30
"340",9.9,84,13.75,28
"341",5.5,93,15.05,26
"342",1.6,45,13.55,29
"343",7,82,12.05,30
"344",7.9,79,14.25,26
"345",9.8,79,18.95,21
"346",7.5,61,20.75,19
"347",5.4,286,20.95,17
"348",5.4,292,21.45,16
"349",6.2,287,22.85,14
"350",6.5,295,24.35,15
"351",7.8,282,24.85,15
"352",6.9,291,25.55,15
"353",6.5,285,25.15,15
"354",7,266,25.45,14
"355",10.2,261,22.75,20
"356",7.3,250,21.45,23
"357",5.3,259,19.75,29
"358",3.3,281,18.45,29
"359",2.6,289,16.85,33
"360",0.4,94,15.75,34
"361",3.2,130,16.45,33
"362",6.8,87,13.15,38
"363",8.8,86,12.45,40
"364",8.5,81,14.55,36
"365",9.4,82,14.95,36
"366",9.1,80,14.65,36
"367",9,81,12.55,42
"368",11.3,83,16.95,32
"369",7.5,56,19.15,27
"370",4.3,346,19.85,26
"371",5.4,281,21.75,25
"372",6.1,293,22.45,23
"373",7.1,282,23.35,21
"374",7.5,287,24.05,20
"375",7.5,274,25.25,18
"376",7.6,265,25.65,18
"377",7.8,278,26.05,15
"378",7.8,266,26.25,15
"379",9.7,249,24.85,19
"380",9.5,249,22.25,23
"381",5.4,231,20.05,29
"382",3.5,242,18.85,31
"383",0.7,17,18.05,32
"384",2.5,75,16.65,32
"385",3.3,95,15.45,35
"386",3.2,104,15.55,32
"387",5.9,96,13.65,38
"388",6,92,12.25,40
"389",6.8,91,12.15,43
"390",6.8,92,11.85,42
"391",7.2,88,12.05,43
"392",8.2,80,14.25,40
"393",8.1,67,18.45,31
"394",4.7,70,21.05,26
"395",2.5,279,23.05,23
"396",5.4,284,22.95,23
"397",6.6,279,23.25,23
"398",6.6,288,24.15,20
"399",8.2,277,24.95,17
"400",7.7,279,25.35,16
"401",8.7,284,25.55,16
"402",9.1,282,24.95,19
"403",9.1,266,23.45,21
"404",8.5,247,21.05,24
"405",5.9,246,19.05,25
"406",2.6,273,17.65,29
"407",1.7,72,15.85,29
"408",2.3,91,15.15,31
"409",5.4,85,15.05,30
"410",7.9,88,13.95,36
"411",7.7,87,14.75,40
"412",6.7,89,15.45,37
"413",7.5,84,15.55,33
"414",7.1,80,13.15,37
"415",7.3,77,13.15,37
"416",7.3,69,13.95,35
"417",8.5,68,18.15,28
"418",4.7,51,20.55,24
"419",4.5,288,21.95,23
"420",6,287,22.05,24
"421",6.5,292,22.65,18
"422",4.6,283,23.45,17
"423",7.2,282,24.65,15
"424",7.4,298,25.45,13
"425",7.7,274,25.85,13
"426",7.3,279,26.05,13
"427",10.4,246,24.15,11
"428",9.4,238,21.95,18
"429",4.2,274,19.15,21
"430",1.9,324,17.75,20
"431",0.8,69,16.05,26
"432",4,107,15.25,27
"433",3.5,98,15.05,23
"434",6.5,96,12.55,24
"435",8.3,88,11.85,22
"436",8,83,11.65,25
"437",6.2,95,13.75,26
"438",5.9,82,10.75,30
"439",6.8,89,10.05,31
"440",7,80,13.05,27
"441",7.8,63,17.55,20
"442",3.8,48,20.65,16
"443",1.5,274,22.55,15
"444",6.8,284,23.45,14
"445",7.3,293,23.55,14
"446",7,288,24.35,14
"447",8.8,278,24.25,14
"448",7.2,280,25.15,13
"449",9.8,279,25.95,10
"450",10.2,260,24.75,11
"451",5.7,278,23.15,14
"452",7.9,253,19.85,23
"453",4.4,250,17.45,26
"454",0.9,267,16.05,29
"455",2.4,90,14.65,30
"456",2.9,89,13.85,32
"457",5.9,90,12.25,33
"458",5.8,95,12.75,32
"459",6.4,97,12.55,33
"460",8.3,85,11.05,35
"461",8.3,90,10.85,34
"462",7.9,90,11.45,32
"463",6.4,91,11.35,30
"464",7,79,12.35,30
"465",7.5,65,15.65,24
"466",2.7,17,18.85,21
"467",2.7,75,21.85,17
"468",6.2,286,21.45,20
"469",7.3,283,21.45,20
"470",7.4,289,22.65,17
"471",6.9,271,23.85,16
"472",7.4,265,24.65,14
"473",7.4,283,25.15,12
"474",10.1,267,24.45,15
"475",9.6,251,22.75,18
"476",7.9,246,21.45,21
"477",6.7,276,18.85,25
"478",4.8,291,16.45,29
"479",1.7,296,14.45,35
"480",2,113,13.95,37
"481",1.7,141,13.95,34
"482",4,103,12.35,29
"483",5.4,96,11.45,36
"484",5.3,105,10.35,37
"485",6.4,90,9.25,37
"486",8.4,83,10.15,38
"487",8.7,79,10.15,39
"488",7.5,79,11.75,37
"489",6.9,67,16.25,29
"490",1.2,344,19.45,24
"491",4.9,276,21.25,20
"492",6,282,20.35,24
"493",7.1,290,20.65,24
"494",7,295,21.95,21
"495",6.8,291,23.05,18
"496",7.1,290,24.45,15
"497",7.4,285,25.05,13
"498",8.1,279,25.15,13
"499",11.4,254,23.05,18
"500",9,259,21.35,19
"501",5.5,281,18.05,30
"502",3.2,268,15.95,36
"503",3.1,181,14.05,41
"504",2,163,15.05,40
"505",1,161,14.75,37
"506",5.1,89,12.25,36
"507",7.9,81,11.85,38
"508",7.8,83,12.05,38
"509",7.6,80,11.65,38
"510",6.8,78,11.95,38
"511",7.3,77,10.55,39
"512",9,79,12.65,35
"513",8.5,66,16.95,27
"514",5.5,50,19.85,23
"515",3.2,291,21.75,20
"516",6.7,284,21.65,24
"517",6.9,289,22.35,24
"518",7.2,289,23.15,22
"519",6.2,303,24.25,19
"520",6.8,280,25.05,16
"521",7.7,294,25.45,14
"522",7.1,289,25.65,13
"523",10.4,239,24.45,15
"524",8.3,236,22.45,14
"525",4.3,268,20.15,16
"526",3.5,301,17.45,27
"527",1,1,16.25,29
"528",2.6,105,15.65,29
"529",3.8,112,15.95,27
"530",4.2,95,13.05,25
"531",5.2,98,12.15,29
"532",5.8,103,12.15,29
"533",5.9,99,11.65,30
"534",7,95,11.05,30
"535",8,96,11.45,30
"536",7.4,80,13.85,27
"537",8.3,64,17.65,21
"538",5.1,51,20.55,18
"539",4.2,296,21.85,18
"540",5.8,278,22.45,19
"541",6.9,296,23.45,19
"542",7.4,287,23.85,20
"543",7.7,290,24.75,18
"544",7.9,280,25.25,16
"545",8.5,284,26.65,14
"546",8.9,278,26.05,12
"547",10.1,245,24.25,9
"548",9.2,250,22.35,9
"549",6,284,20.15,11
"550",3.1,301,16.95,28
"551",0.5,352,15.65,30
"552",2.7,118,16.15,27
"553",3.2,92,14.45,27
"554",5.9,91,13.15,28
"555",6,96,13.65,25
"556",6.3,104,12.75,25
"557",7.1,90,10.65,25
"558",5.7,96,9.75,26
"559",6.8,79,10.05,27
"560",7.3,80,13.55,23
"561",8.3,76,18.05,17
"562",3.7,35,20.45,15
"563",4.3,292,21.35,16
"564",6.5,286,21.55,16
"565",7.3,277,21.95,16
"566",7,282,23.05,16
"567",9.1,280,23.55,12
"568",7.4,283,24.45,9
"569",7.5,285,24.15,10
"570",8.6,282,24.05,12
"571",8,285,22.85,13
"572",7.5,277,20.65,14
"573",3.4,272,18.85,17
"574",2.5,278,16.95,24
"575",1.7,310,15.85,22
"576",2.4,165,14.65,27
"577",4.2,151,15.15,23
"578",3.9,139,15.55,22
"579",5.7,95,12.15,25
"580",6.2,94,12.45,24
"581",4.7,101,10.25,23
"582",5.6,96,9.65,28
"583",8.5,81,9.45,34
"584",8.2,80,12.55,29
"585",6.1,68,16.55,21
"586",4.2,67,18.85,18
"587",6.2,286,19.15,19
"588",7,285,18.65,25
"589",6.3,270,19.95,24
"590",6.6,293,21.15,22
"591",7.8,286,22.05,20
"592",5.6,271,23.35,18
"593",7.2,271,23.95,16
"594",10.3,247,23.35,16
"595",7.9,237,20.95,25
"596",8.7,236,19.25,24
"597",4.7,283,16.95,33
"598",3.1,307,14.55,23
"599",0.7,336,13.35,26
"600",2.5,96,13.05,26
"601",2.8,93,12.95,26
"602",3.4,90,10.85,27
"603",4,87,10.75,30
"604",4.4,86,9.65,37
"605",5.1,101,9.85,39
"606",7.5,87,10.85,39
"607",7.8,93,10.95,40
"608",3.2,35,13.25,36
"609",4.9,60,15.25,33
"610",2.9,335,18.15,26
"611",5.3,285,19.15,24
"612",5.7,280,19.45,22
"613",6,264,21.35,17
"614",6.2,271,22.75,17
"615",6.5,277,23.35,16
"616",7,273,24.55,15
"617",7.1,285,24.85,14
"618",7.4,287,24.85,14
"619",9.7,236,23.25,15
"620",7.6,226,20.95,15
"621",5,252,18.85,13
"622",3.2,319,16.05,18
"623",0.3,335,14.95,20
"624",1,125,14.45,21
"625",3.1,95,14.05,20
"626",5.6,96,12.55,22
"627",4.8,96,11.85,21
"628",5,94,12.55,23
"629",7.8,95,10.85,25
"630",7.4,91,10.45,26
"631",9.4,81,10.55,25
"632",9.5,73,12.15,23
"633",9.4,76,16.45,21
"634",6.8,63,20.15,17
"635",6.3,284,21.35,15
"636",7.3,286,21.85,11
"637",5.9,256,23.75,11
"638",8.2,287,24.35,9
"639",7.6,267,25.95,9
"640",8,271,26.65,9
"641",9.4,261,26.25,8
"642",8,237,24.05,15
"643",8.3,222,22.85,16
"644",7.1,230,20.55,12
"645",4.4,228,18.55,13
"646",0.8,206,16.95,14
"647",1.8,176,16.45,16
"648",1.2,158,15.15,16
"649",3.2,89,14.45,17
"650",6.9,99,13.35,19
"651",4.3,101,12.65,21
"652",7.9,87,12.85,20
"653",9.8,86,11.55,20
"654",8.8,81,12.95,20
"655",8,79,13.65,22
"656",6.9,80,15.25,22
"657",8,74,18.95,19
"658",6.4,62,21.45,16
"659",1.5,29,23.45,14
"660",4.3,286,26.05,12
"661",8.4,282,25.25,15
"662",9,282,26.35,13
"663",7.9,283,27.15,12
"664",8.2,282,27.75,11
"665",8.1,283,28.05,10
"666",11,258,27.05,10
"667",8.9,250,25.65,13
"668",8,253,24.05,15
"669",5.8,278,21.55,16
"670",3.4,300,18.65,24
"671",0.6,332,17.65,25
"672",2.9,107,17.25,26
"673",5.6,105,15.35,26
"674",8.1,86,14.05,24
"675",6.8,91,15.25,22
"676",7.4,93,14.15,25
"677",6.8,88,13.45,24
"678",5.3,90,14.15,25
"679",9.1,87,12.05,27
"680",8,75,14.65,23
"681",8,73,18.95,18
"682",3.9,68,21.95,15
"683",4.8,288,22.85,14
"684",6,286,22.85,13
"685",6,281,23.95,13
"686",7.8,284,25.35,13
"687",6.8,282,26.15,12
"688",8.9,271,26.45,13
"689",6.3,296,27.15,11
"690",9.2,288,27.25,10
"691",9.6,274,26.05,12
"692",8.6,254,23.35,16
"693",6.3,232,20.85,22
"694",4.1,215,19.35,22
"695",3.2,190,18.55,24
"696",3.5,186,17.25,29
"697",3.1,171,16.85,29
"698",5.6,105,16.05,27
"699",5.4,100,15.75,28
"700",5.8,97,16.25,28
"701",5.6,97,15.45,28
"702",7.7,85,12.45,30
"703",7.8,85,12.75,29
"704",8.4,85,13.65,27
"705",7.2,83,17.45,22
"706",4.8,74,21.55,19
"707",6.4,285,24.45,16
"708",6.5,281,22.85,19
"709",6.3,281,23.25,19
"710",7.8,278,23.75,18
"711",6.4,284,24.15,18
"712",7.6,284,24.45,18
"713",6.6,272,24.45,18
"714",7,274,24.75,17
"715",7.6,276,24.55,17
"716",7.4,284,23.35,19
"717",6.5,228,21.05,21
"718",4.8,217,18.65,34
"719",2.4,209,17.45,33
"720",2,193,16.75,32
"721",1.5,172,16.45,32
"722",5.3,100,14.25,34
"723",4.9,99,14.65,37
"724",2.3,73,13.45,37
"725",4.7,83,12.15,40
"726",5.5,85,11.55,41
"727",6.7,99,11.95,39
"728",5.9,101,13.15,37
"729",5.2,67,17.35,29
"730",3.1,19,20.45,23
"731",5,287,20.95,26
"732",5.7,281,20.75,29
"733",6.7,269,21.45,30
"734",8.1,276,23.15,26
"735",7.3,283,23.15,27
"736",7.2,265,23.65,27
"737",7.7,287,23.35,27
"738",7.6,280,23.85,25
"739",8,282,22.15,33
"740",8.5,271,20.35,38
"741",6.5,270,17.05,51
"742",3.8,243,15.55,56
"743",1.3,210,14.45,59
"744",0.9,259,13.95,61
"745",3.8,97,13.15,63
"746",5.2,105,12.45,63
"747",4.5,93,13.05,63
"748",6,100,12.65,62
"749",2.5,64,11.05,62
"750",6.9,91,11.05,64
"751",6.9,84,10.75,65
"752",6.7,93,12.05,65
"753",4.3,57,15.45,52
"754",3.6,281,16.45,51
"755",4.7,285,18.05,46
"756",6.4,289,19.25,37
"757",7.3,286,20.05,32
"758",6.8,295,21.15,30
"759",7.6,282,22.35,29
"760",7,287,23.25,26
"761",6.6,290,23.35,26
"762",7.3,283,23.35,28
"763",9.3,292,22.45,34
"764",8.9,271,19.15,34
"765",6,255,17.35,38
"766",3.8,236,16.05,45
"767",3.2,180,14.95,46
"768",2.1,219,14.85,46
"769",1.7,76,14.15,48
"770",5.5,108,12.75,51
"771",5.1,96,13.05,55
"772",4.4,92,12.05,55
"773",3.3,83,11.15,58
"774",6.8,82,12.25,57
"775",5.7,87,13.15,55
"776",3.4,78,14.05,54
"777",3,22,16.75,43
"778",3.5,304,18.45,39
"779",5.4,288,19.05,38
"780",6.1,280,19.45,36
"781",6.4,292,20.75,33
"782",6.1,280,21.65,31
"783",7.3,283,22.75,27
"784",7.1,274,23.25,25
"785",6.9,288,23.45,24
"786",8.6,286,22.85,25
"787",8.8,273,22.45,25
"788",9.3,275,20.75,27
"789",5.6,246,18.45,32
"790",3.7,214,16.65,33
"791",3,253,16.05,34
"792",3.5,254,14.95,36
"793",2.4,179,13.35,43
"794",2.8,145,13.95,44
"795",4.9,118,12.85,44
"796",5.6,108,12.75,42
"797",3.2,93,12.35,43
"798",7.2,92,11.05,51
"799",7.6,84,11.95,48
"800",7.6,88,13.55,44
"801",7.1,68,16.35,38
"802",6.7,73,18.65,32
"803",2.2,349,21.35,27
"804",7.7,291,20.95,28
"805",7.3,292,21.75,27
"806",7.9,284,22.95,24
"807",6.6,286,23.95,22
"808",6.4,294,25.05,21
"809",8.7,290,25.25,20
"810",9.2,236,25.35,22
"811",6.6,240,24.05,24
"812",8.2,253,22.15,29
"813",5.8,273,19.95,33
"814",2.9,302,17.95,37
"815",1.9,295,16.35,41
"816",1.5,166,15.25,45
"817",0.8,206,15.65,45
"818",0.7,19,14.25,47
"819",2.1,107,14.15,49
"820",0,130,13.45,50
"821",3.2,96,12.35,50
"822",6.1,114,12.85,52
"823",1.6,48,13.45,49
"824",7.6,111,12.75,50
"825",5,70,17.45,39
"826",1.6,25,21.25,31
"827",6,286,21.45,31
"828",7.3,288,22.05,32
"829",7.4,293,22.85,29
"830",7.8,281,24.25,26
"831",7.5,290,24.05,26
"832",7.2,284,25.45,24
"833",7.2,294,25.55,23
"834",10.7,286,26.15,22
"835",11.4,277,25.15,25
"836",7.9,256,22.15,30
"837",7.5,268,20.15,35
"838",5.5,249,18.55,39
"839",3.7,233,17.15,44
"840",2,187,16.15,46
"841",1.6,177,16.15,47
"842",1.8,160,16.05,48
"843",1.6,143,16.05,49
"844",1.8,86,13.45,49
"845",5.1,103,13.75,50
"846",6,94,13.05,50
"847",5.3,79,14.35,51
"848",4.7,54,14.85,50
"849",6,57,17.85,42
"850",3.1,79,20.25,35
"851",1.8,327,23.25,30
"852",5.2,287,23.55,29
"853",7.2,284,22.85,31
"854",6.4,290,24.05,28
"855",6.9,284,23.55,29
"856",6.6,279,23.45,28
"857",6.5,287,23.95,27
"858",5.3,276,24.05,26
"859",5.7,261,23.65,26
"860",7.6,261,22.75,28
"861",4.7,270,21.35,28
"862",4.6,257,20.15,32
"863",2.2,257,19.55,33
"864",1.7,283,18.35,33
"865",1.6,189,17.05,35
"866",2.3,109,16.25,41
"867",3.7,99,15.15,41
"868",4.4,100,14.55,42
"869",4,116,15.25,44
"870",4.6,95,12.75,48
"871",5.6,95,13.15,48
"872",6.5,91,14.75,43
"873",5.6,65,17.75,37
"874",1.3,270,21.35,32
"875",5.2,285,21.15,32
"876",6.4,286,21.95,28
"877",6.1,293,23.25,26
"878",6.5,299,24.25,24
"879",6.4,290,25.35,22
"880",8.5,280,25.55,22
"881",9.5,282,26.25,19
"882",9.7,237,26.25,15
"883",10.1,246,24.35,15
"884",7.4,241,22.45,17
"885",4.6,260,20.85,19
"886",2.3,283,19.35,19
"887",1.4,318,17.95,21
"888",0.4,264,16.65,22
"889",0.9,162,16.55,22
"890",3.8,112,14.85,23
"891",5.8,101,13.95,23
"892",8.4,89,14.75,21
"893",7.2,80,14.05,24
"894",7.5,81,15.25,23
"895",7.7,83,13.85,25
"896",7.2,80,15.25,25
"897",8.2,72,19.15,21
"898",6.3,69,21.95,18
"899",5,284,19.65,20
"900",6.9,293,20.65,19
"901",7.3,289,21.35,22
"902",7.9,280,22.25,20
"903",6.8,281,22.95,18
"904",8.4,285,24.15,17
"905",6.5,282,24.05,18
"906",8.4,277,24.45,19
"907",9.4,267,23.35,21
"908",7.5,258,21.75,23
"909",6.1,247,19.05,29
"910",5.1,247,17.05,36
"911",3.1,250,15.55,36
"912",1.1,238,13.95,45
"913",1.3,165,13.45,49
"914",3.9,98,11.65,46
"915",5.8,101,12.75,48
"916",4.2,81,12.65,42
"917",1.7,42,11.15,46
"918",3.2,92,11.55,44
"919",3.4,85,10.75,45
"920",3.3,87,11.55,43
"921",2.7,352,15.65,33
"922",3,279,16.15,36
"923",4.9,283,16.75,42
"924",6.6,282,17.55,44
"925",6.8,283,18.95,40
"926",7.6,283,19.75,34
"927",6.9,294,20.85,30
"928",7.9,277,21.65,26
"929",7.3,286,22.05,24
"930",6.3,287,22.45,25
"931",8.4,286,22.15,25
"932",6.8,288,20.95,26
"933",6,266,18.75,33
"934",3.3,256,17.45,35
"935",1.9,203,15.65,39
"936",2.8,264,14.65,44
"937",1.4,158,14.25,46
"938",3.6,114,12.75,46
"939",5.1,104,12.85,49
"940",4.3,99,12.55,49
"941",5.9,97,10.95,51
"942",5.9,90,11.15,51
"943",1.6,73,10.25,53
